"guid","link","pubDate","Title","Description"
"163103","https://www.tenable.com/plugins/nessus/163103","Thu, 14 Jul 2022 00:00:00 GMT","System Restart Required","
      Nessus Plugin ID 163103 with Info Severity
      Synopsis
      The remote system has updates installed which require a reboot.
      Description
      Using the supplied credentials, Nessus was able to determine that the remote system has updates applied that require a reboot to take effect. Nessus has determined that the system has not been rebooted since these updates have been applied, and thus should be rebooted.
      Solution
      Restart the target system to ensure the updates are applied.

      Read more at  https://www.tenable.com/plugins/nessus/163103
    "
"163102","https://www.tenable.com/plugins/nessus/163102","Thu, 14 Jul 2022 00:00:00 GMT","Cisco Unified Communications Manager XSS (cisco-sa-cucm-xss-ksKd5yfA)","
      Nessus Plugin ID 163102 with Medium Severity
      Synopsis
      The remote device is missing a vendor-supplied security patch
      Description
      The version of Cisco Unified Communications Manager installed on the remote host is version 14 prior to 14SU2. It is, therefore affect by a cross-site scripting vulnerability (XSS) in the web-based management interface. An unauthenticated remote attacker can, with the action of an authorized user, execute arbitrary script code in the context of the affected interface or access sensitive browser-based information.Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number.
      Solution
      Upgrade to the relevant fixed version referenced in Cisco bug IDs CSCvy16646, CSCvy52029, CSCvy60442

      Read more at  https://www.tenable.com/plugins/nessus/163102
    "
"163101","https://www.tenable.com/plugins/nessus/163101","Thu, 14 Jul 2022 00:00:00 GMT","Cisco Unified Communications Manager IM & Presence XSS (cisco-sa-cucm-xss-ksKd5yfA)","
      Nessus Plugin ID 163101 with Medium Severity
      Synopsis
      The remote device is missing a vendor-supplied security patch
      Description
      The version of Cisco Unified Communications Manager IM & Presence Service installed on the remote host is 11.5(1) prior to 11.5(1)SU11, 12.5(1) prior to 12.5(1)SU6 or 14 prior to 14SU2. It is, therefore affect by a cross-site scripting vulnerability (XSS) in the web-based management interface. An unauthenticated remote attacker can, with the action of an authorized user, execute arbitrary script code in the context of the affected interface or access sensitive browser-based information.Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number.
      Solution
      Upgrade to the relevant fixed version referenced in Cisco bug ID CSCvy16646

      Read more at  https://www.tenable.com/plugins/nessus/163101
    "
"163100","https://www.tenable.com/plugins/nessus/163100","Thu, 14 Jul 2022 00:00:00 GMT","VMware vCenter Server 6.5 / 6.7 / 7.0 SSRF (VMSA-2022-0018)","
      Nessus Plugin ID 163100 with Medium Severity
      Synopsis
      A virtualization management application installed on the remote host is affected by a server-side request forgery vulnerability.
      Description
      The version of VMware vCenter Server installed on the remote host is 6.5 prior to 6.5 U3t, 6.7 prior to 6.7 U3r, or 7.0 prior to 7.0 U3f. It is, therefore, affected by a server-side request forgery (SSRF) vulnerability. A remote attacker with network access to port 433 can exploit this send a URL request outside of vCenter Server or to an internal service.Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version   number. Nessus has also not tested for the presence of a workaround.
      Solution
      Upgrade to VMware vCenter Server 6.5 U3t, 6.7 U3r, or 7.0 U3f or later.

      Read more at  https://www.tenable.com/plugins/nessus/163100
    "
"163099","https://www.tenable.com/plugins/nessus/163099","Thu, 14 Jul 2022 00:00:00 GMT","VMware vRealize Log Insight 8.x < 8.8.2 XSS (VMSA-2022-0019)","
      Nessus Plugin ID 163099 with Low Severity
      Synopsis
      A log management application running on the remote host is affected by multiple XSS vulnerabilities.
      Description
      The VMware vRealize Log Insight application running on the remote host is 8.0.0 or later but prior to 8.8.2. It is, therefore, affected by multiple XSS vulnerabilities.Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number.
      Solution
      Upgrade to VMware vRealize Log Insight version 8.8.2 or later.

      Read more at  https://www.tenable.com/plugins/nessus/163099
    "
"163098","https://www.tenable.com/plugins/nessus/163098","Thu, 14 Jul 2022 00:00:00 GMT","Adobe RoboHelp 2020 < RH2020.0.8 XSS (APSB22-10)","
      Nessus Plugin ID 163098 with Medium Severity
      Synopsis
      Adobe RoboHelp installed on the remote host is affected by a cross-site scripting vulnerability.
      Description
      The version of Adobe RoboHelp installed on the remote host is 2020 prior to RH2020.0.8. It is, therefore, affected by a cross-site scripting (XSS) vulnerability. An unauthenticated, remote attacker can exploit this to execute arbitrary script code.Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number.
      Solution
      Upgrade to Adobe RoboHelp 2020 version RH2020.0.8 or later.

      Read more at  https://www.tenable.com/plugins/nessus/163098
    "
"163097","https://www.tenable.com/plugins/nessus/163097","Thu, 14 Jul 2022 00:00:00 GMT","Oracle Linux 9 : grub2 (ELSA-2022-9596)","
      Nessus Plugin ID 163097 with High Severity
      Synopsis
      The remote Oracle Linux host is missing one or more security updates.
      Description
      The remote Oracle Linux 9 host has packages installed that are affected by multiple vulnerabilities as referenced in the ELSA-2022-9596 advisory.  - shim: Buffer overflow when loading crafted EFI images (CVE-2022-28737)  - A heap out-of-bounds write may heppen during the handling of Huffman tables in the PNG reader. This may     lead to data corruption in the heap space. Confidentiality, Integrity and Availablity impact may be     considered Low as it's very complex to an attacker control the encoding and positioning of corrupted     Huffman entries to achieve results such as arbitrary code execution and/or secure boot circumvention. This     flaw affects grub2 versions prior grub-2.12. (CVE-2021-3696)  - grub2: Out-of-bound write when handling split HTTP headers (CVE-2022-28734)  - A crafted 16-bit grayscale PNG image may lead to a out-of-bounds write in the heap area. An attacker may     take advantage of that to cause heap data corruption or eventually arbitrary code execution and circumvent     secure boot protections. This issue has a high complexity to be exploited as an attacker needs to perform     some triage over the heap layout to achieve signifcant results, also the values written into the memory     are repeated three times in a row making difficult to produce valid payloads. This flaw affects grub2     versions prior grub-2.12. (CVE-2021-3695)  - A crafted JPEG image may lead the JPEG reader to underflow its data pointer, allowing user-controlled data     to be written in heap. To a successful to be performed the attacker needs to perform some triage over the     heap layout and craft an image with a malicious format and payload. This vulnerability can lead to data     corruption and eventual code execution or secure boot circumvention. This flaw affects grub2 versions     prior grub-2.12. (CVE-2021-3697)  - grub2: Integer underflow in grub_net_recv_ip4_packets (CVE-2022-28733)  - grub2: shim_lock verifier allows non-kernel files to be loaded (CVE-2022-28735)  - grub2: use-after-free in grub_cmd_chainloader() (CVE-2022-28736)Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number.
      Solution
      Update the affected packages.

      Read more at  https://www.tenable.com/plugins/nessus/163097
    "
"163096","https://www.tenable.com/plugins/nessus/163096","Thu, 14 Jul 2022 00:00:00 GMT","SUSE SLED12 / SLES12 Security Update : kernel (SUSE-SU-2022:2382-1)","
      Nessus Plugin ID 163096 with High Severity
      Synopsis
      The remote SUSE host is missing one or more security updates.
      Description
      The remote SUSE Linux SLED12 / SLES12 host has packages installed that are affected by multiple vulnerabilities as referenced in the SUSE-SU-2022:2382-1 advisory.  - The Linux kernel through 5.8.13 does not properly enforce the Secure Boot Forbidden Signature Database     (aka dbx) protection mechanism. This affects certs/blacklist.c and certs/system_keyring.c.    (CVE-2020-26541)  - An out of memory bounds write flaw (1 or 2 bytes of memory) in the Linux kernel NFS subsystem was found in     the way users use mirroring (replication of files with NFS). A user, having access to the NFS mount, could     potentially use this flaw to crash the system or escalate privileges on the system. (CVE-2021-4157)  - kernel: Small table perturb size in the TCP source port generation algorithm can lead to information leak     (CVE-2022-1012)  - A use-after-free flaw was found in the Linux kernel's Atheros wireless adapter driver in the way a user     forces the ath9k_htc_wait_for_target function to fail with some input messages. This flaw allows a local     user to crash or potentially escalate their privileges on the system. (CVE-2022-1679)  - In lg_probe and related functions of hid-lg.c and other USB HID files, there is a possible out of bounds     read due to improper input validation. This could lead to local information disclosure if a malicious USB     HID device were plugged in, with no additional execution privileges needed. User interaction is not needed     for exploitation.Product: AndroidVersions: Android kernelAndroid ID: A-188677105References: Upstream     kernel (CVE-2022-20132)  - In ip_check_mc_rcu of igmp.c, there is a possible use after free due to improper locking. This could lead     to local escalation of privilege when opening and closing inet sockets with no additional execution     privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android     kernelAndroid ID: A-112551163References: Upstream kernel (CVE-2022-20141)  - In lock_sock_nested of sock.c, there is a possible use after free due to a race condition. This could lead     to local escalation of privilege with System execution privileges needed. User interaction is not needed     for exploitation.Product: AndroidVersions: Android kernelAndroid ID: A-174846563References: Upstream     kernel (CVE-2022-20154)  - There are use-after-free vulnerabilities caused by timer handler in net/rose/rose_timer.c of linux that     allow attackers to crash linux kernel without any privileges. (CVE-2022-2318)  - Linux disk/nic frontends data leaks T[his CNA information record relates to multiple CVEs; the text     explains which aspects/vulnerabilities correspond to which CVE.] Linux Block and Network PV device     frontends don't zero memory regions before sharing them with the backend (CVE-2022-26365, CVE-2022-33740).    Additionally the granularity of the grant table doesn't allow sharing less than a 4K page, leading to     unrelated data residing in the same 4K page as data shared with a backend being accessible by such backend     (CVE-2022-33741, CVE-2022-33742). (CVE-2022-26365, CVE-2022-33740, CVE-2022-33741, CVE-2022-33742)  - AMD microprocessor families 15h to 18h are affected by a new Spectre variant that is able to bypass their     retpoline mitigation in the kernel to leak arbitrary data. An attacker with unprivileged user access can     hijack return instructions to achieve arbitrary speculative code execution under certain     microarchitecture-dependent conditions. (CVE-2022-29900)  - Intel microprocessor generations 6 to 8 are affected by a new Spectre variant that is able to bypass their     retpoline mitigation in the kernel to leak arbitrary data. An attacker with unprivileged user access can     hijack return instructions to achieve arbitrary speculative code execution under certain     microarchitecture-dependent conditions. (CVE-2022-29901)  - drivers/block/floppy.c in the Linux kernel before 5.17.6 is vulnerable to a denial of service, because of     a concurrency use-after-free flaw after deallocating raw_cmd in the raw_cmd_ioctl function.    (CVE-2022-33981)Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number.
      Solution
      Update the affected packages.

      Read more at  https://www.tenable.com/plugins/nessus/163096
    "
"163095","https://www.tenable.com/plugins/nessus/163095","Thu, 14 Jul 2022 00:00:00 GMT","SUSE SLED15 / SLES15 Security Update : cifs-utils (SUSE-SU-2022:2378-1)","
      Nessus Plugin ID 163095 with High Severity
      Synopsis
      The remote SUSE host is missing a security update.
      Description
      The remote SUSE Linux SLED15 / SLES15 host has packages installed that are affected by a vulnerability as referenced in the SUSE-SU-2022:2378-1 advisory.  - In cifs-utils through 6.14, a stack-based buffer overflow when parsing the mount.cifs ip= command-line     argument could lead to local attackers gaining root privileges. (CVE-2022-27239)Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number.
      Solution
      Update the affected cifs-utils and / or cifs-utils-devel packages.

      Read more at  https://www.tenable.com/plugins/nessus/163095
    "
"163094","https://www.tenable.com/plugins/nessus/163094","Thu, 14 Jul 2022 00:00:00 GMT","openSUSE 15 Security Update : opera (openSUSE-SU-2022:10057-1)","
      Nessus Plugin ID 163094 with Critical Severity
      Synopsis
      The remote SUSE host is missing one or more security updates.
      Description
      The remote SUSE Linux SUSE15 host has a package installed that is affected by multiple vulnerabilities as referenced in the openSUSE-SU-2022:10057-1 advisory.  - Use after free in WebGPU. (CVE-2022-2007)  - Out of bounds memory access in WebGL. (CVE-2022-2008)  - Out of bounds read in compositing. (CVE-2022-2010)  - Use after free in ANGLE. (CVE-2022-2011)  - This CVE was assigned by Chrome. Microsoft Edge (Chromium-based) ingests Chromium, which addresses this     vulnerability. Please see Google Chrome Releases for more information. (CVE-2022-2294)Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number.
      Solution
      Update the affected opera package.

      Read more at  https://www.tenable.com/plugins/nessus/163094
    "
